id,name,sort,industory_l_id
0101,システムインテグレータ,3,01
0103,ハードウェアベンダ／ソフトウェアベンダ／パッケージベンダ／ASP,2,01
0107,コンサルティングファーム／シンクタンク,1,01
0109,通信キャリア／ISP／データセンター,4,01
0112,ITアウトソーシング,5,01
0201,産業用装置（工作機械・半導体製造装置・ロボット・その他装置）,7,02
0202,機械部品／金型,9,02
0205,家電／モバイル／ネットワーク機器／複写機・プリンタ,10,02
0207,電子部品,11,02
0208,半導体,12,02
0209,ゲーム／アミューズメント／エンタメ,13,02
0210,計測機器／光学機器／精密機器,14,02
0211,自動車（四輪・二輪）,15,02
0212,自動車部品,16,02
0213,建設機械／その他輸送機器,17,02
0215,受託加工業（各種加工・表面処理）,18,02
0216,総合電機メーカー,6,02
0217,重工業／造船,8,02
0301,電子材料,20,03
0302,鉄鋼／非鉄金属／金属製品,21,03
0303,ゴム／プラスチック製品,22,03
0304,紙／パルプ／木材,23,03
0305,ガラス／セラミック／セメント,24,03
0306,食品／飲料／化粧品,27,03
0308,繊維,25,03
0309,日用品／文具／オフィス用品,29,03
0312,その他メーカー,30,03
0315,ナノテク／飼料／肥料／農薬／バイオ,28,03
0316,服飾（アパレル・アクセサリ 等）／皮革製品／スポーツ用品,26,03
0317,総合化学,19,03
0401,総合商社,31,04
0501,産業用装置（工作機械・半導体製造装置・ロボット・その他装置）,32,05
0502,機械部品／金型,33,05
0505,家電／電気機器／AV機器／通信・ネットワーク機器／複写機・プリンタ,34,05
0507,電子部品／半導体,35,05
0509,ゲーム／アミューズメント／エンタメ,36,05
0510,計測機器／光学機器／精密機器,37,05
0511,自動車部品・輸送機器関連,38,05
0514,電子材料／ナノテク／バイオ,39,05
0515,鉄鋼／非鉄金属／金属製品,40,05
0516,ゴム／樹脂／パルプ／ガラス／セラミック　等,41,05
0519,化粧品,43,05
0520,食品／飲料／たばこ,44,05
0521,繊維,46,05
0522,日用品,48,05
0525,書籍／雑誌,49,05
0526,その他商社,51,05
0528,建材,52,05
0529,エネルギー（石油・石炭・LNG等）,42,05
0530,飼料／肥料／農薬,45,05
0531,服飾（アパレル・アクセサリ 等）／皮革製品／スポーツ用品,47,05
0532,オフィス用品,50,05
0601,医薬品メーカー,53,06
0603,医療機器メーカー,55,06
0604,医薬品卸,56,06
0605,医療機器卸,57,06
0606,CRO,58,06
0607,国立総合病院／自治体総合病院,62,06
0608,病院／クリニック,63,06
0611,調剤薬局／ドラッグストア,64,06
0613,バイオベンチャー,65,06
0614,大学／研究施設,66,06
0615,福祉・介護関連サービス,67,06
0616,その他医療関連,70,06
0618,ライフサイエンス（理化学機器／試薬）メーカー,54,06
0619,SMO,59,06
0620,CSO,60,06
0621,CMO,61,06
0622,医療コンサルティング,68,06
0623,医療広告代理店／出版社／マーケティング,69,06
0701,都市銀行,71,07
0702,地方銀行,72,07
0703,信託銀行,73,07
0705,信用金庫・組合,74,07
0706,証券会社,75,07
0707,生命保険,76,07
0708,損害保険,77,07
0710,保険代理店,78,07
0711,クレジット／信販,79,07
0712,消費者金融,80,07
0713,商工ローン,81,07
0714,住宅ローン会社,82,07
0715,証券取引所,83,07
0716,投信／投資顧問,84,07
0717,ベンチャーキャピタル／プライベートエクイティ,85,07
0719,債権回収会社（サービサー）,86,07
0720,商品先物取引,87,07
0721,外国為替,88,07
0722,リース,89,07
0723,短資,90,07
0724,格付会社,91,07
0725,その他金融,93,07
0726,金融情報ベンダー,92,07
0801,設計事務所,94,08
0802,プラントメーカー・プラントエンジニアリング,96,08
0803,ゼネコン,98,08
0804,サブコン,99,08
0805,住宅（ハウスメーカー）,100,08
0807,内装・インテリア／リフォーム,101,08
0808,ディベロッパー,102,08
0809,不動産仲介,103,08
0810,不動産管理,104,08
0811,設備管理・メンテナンス,105,08
0813,土地活用,106,08
0814,不動産金融,107,08
0815,住宅設備・建材,97,08
0817,建設コンサルタント,95,08
0901,経営／戦略コンサルティング,108,09
0903,組織人事コンサルティング,109,09
0905,財務／会計アドバイザリー（FAS）,110,09
0906,リスクコンサルティング,111,09
0907,その他専門コンサルティング,113,09
0908,シンクタンク,114,09
0909,マーケティング／リサーチ,115,09
0910,監査法人,116,09
0911,税理士法人,117,09
0912,法律事務所,118,09
0913,会計事務所,119,09
0914,特許事務所・弁理士事務所,120,09
0915,司法書士事務所／行政書士事務所,121,09
0917,社会保険労務士事務所,122,09
0918,ITコンサルティング,112,09
1001,人材紹介／職業紹介,123,10
1002,人材派遣,124,10
1003,人材広告,125,10
1004,研修サービス,127,10
1007,技術系アウトソーシング,129,10
1009,組織人事コンサルティング,126,10
1010,アウトソーシング,128,10
1011,コールセンター,130,10
1101,総合広告代理店,134,11
1102,広告制作,138,11
1104,SP代理店（イベント・販促提案　等）,137,11
1105,放送／新聞／出版,139,11
1108,ネット広告・Webマーケティング,133,11
1109,Webサービス・Webメディア（EC／ポータル／ソーシャル）,131,11
1110,Webインテグレータ・Web制作,132,11
1111,専門広告代理店（雑誌・新聞・交通・屋外・折込　等）　,135,11
1112,PR代理店,136,11
1113,印刷,140,11
1201,百貨店,141,12
1202,食品スーパー／GMS,142,12
1203,ディスカウントストア／量販店,143,12
1205,コンビニエンスストア,144,12
1206,ホームセンター／DIY,145,12
1207,自動車ディーラー,146,12
1208,その他専門店・小売業,150,12
1209,通信販売,149,12
1211,アパレル販売,147,12
1212,ラグジュアリ,148,12
1301,鉄道業,155,13
1303,道路貨物運送業・道路旅客運送業,156,13
1304,海運業,157,13
1305,航空運輸業,158,13
1306,倉庫業・梱包業,159,13
1401,エネルギー（電力／ガス／石油／新エネルギー）,160,14
1501,旅行・旅行代理業,161,15
1502,ホテル・旅館・宿泊施設,162,15
1504,レジャー／アミューズメント,163,15
1505,スポーツ・ヘルス関連施設,164,15
1601,警備業／清掃業,165,16
1701,理容／美容／エステ,166,17
1803,学習塾／予備校／専門学校,167,18
1810,その他・各種スクール,168,18
2101,水産／農林／鉱業,169,21
2201,公社／官公庁／学校,170,22
2301,特殊法人／財団法人／その他団体・連合会,173,23
2303,その他,174,23
2401,レストラン,151,24
2402,カフェ・ファーストフード,152,24
2403,居酒屋・パブ,153,24
2404,宅食／給食／中食,154,24
2501,葬儀,171,25
2502,ウェディング,172,25
